"ValgId";"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"Boligstørrelse_Antal boliger_000-039";"Boligstørrelse_Antal boliger_040-079";"Boligstørrelse_Antal boliger_080-119";"Boligstørrelse_Antal boliger_120-159";"Boligstørrelse_Antal boliger_160-199";"Boligstørrelse_Antal boliger_200-";"Boligstørrelse_Antal boliger_Ingen BBR";"Boligstørrelse_Antal personer_000-039";"Boligstørrelse_Antal personer_040-079";"Boligstørrelse_Antal personer_080-119";"Boligstørrelse_Antal personer_120-159";"Boligstørrelse_Antal personer_160-199";"Boligstørrelse_Antal personer_200-";"Boligstørrelse_Antal personer_Ingen BBR";"Boligtype_Antal boliger_01. Stuehuse og parcelhuse";"Boligtype_Antal boliger_02. Række- og kædehuse";"Boligtype_Antal boliger_03. Flerfamiliehuse";"Boligtype_Antal boliger_04. Kollegier";"Boligtype_Antal boliger_05. Sommerhuse";"Boligtype_Antal boliger_06. Øvrige boliger";"Boligtype_Antal boliger_07. Ingen BBR-oplysninger";"Boligtype_Antal personer_01. Stuehuse og parcelhuse";"Boligtype_Antal personer_02. Række- og kædehuse";"Boligtype_Antal personer_03. Flerfamiliehuse";"Boligtype_Antal personer_04. Kollegier";"Boligtype_Antal personer_05. Sommerhuse";"Boligtype_Antal personer_06. Øvrige boliger";"Boligtype_Antal personer_07. Ingen BBR-oplysninger";"Ejerforhold_Antal boliger_01. Ejerbolig";"Ejerforhold_Antal boliger_02. Andelsbolig";"Ejerforhold_Antal boliger_03. Almennyttig bolig";"Ejerforhold_Antal boliger_04. Lejer i offentligt ejet";"Ejerforhold_Antal boliger_05. Privat lejerbolig";"Ejerforhold_Antal boliger_06. Øvrige beboede boliger";"Ejerforhold_Antal boliger_07. Ingen BBR-oplysninger";"Ejerforhold_Antal personer_01. Ejerbolig";"Ejerforhold_Antal personer_02. Andelsbolig";"Ejerforhold_Antal personer_03. Almennyttig bolig";"Ejerforhold_Antal personer_04. Lejer i offentligt ejet";"Ejerforhold_Antal personer_05. Privat lejerbolig";"Ejerforhold_Antal personer_06. Øvrige beboede boliger";"Ejerforhold_Antal personer_07. Ingen BBR-oplysninger"
"195";"821007";"821007";"97";"17";"3";"27";"151";"501";"576";"275";"167";"5";"70";"184";"1134";"1522";"762";"515";"13";"1273";"290";"109";"-";"-";"25";"5";"3377";"546";"190";"-";"-";"74";"13";"1278";"25";"250";"39";"105";"-";"5";"3339";"41";"495";"61";"251";"-";"13"
"195";"821008";"821008";"97";"17";"3";"135";"685";"1016";"596";"162";"41";"11";"159";"934";"2091";"1667";"527";"130";"16";"1315";"451";"850";"-";"-";"19";"11";"3362";"841";"1251";"-";"-";"54";"16";"1411";"71";"633";"75";"425";"20";"11";"3494";"125";"1016";"176";"673";"24";"16"
"195";"821009";"821009";"97";"17";"3";"129";"389";"735";"418";"160";"88";"9";"142";"436";"1533";"1226";"468";"329";"9";"781";"231";"898";"-";"-";"9";"9";"2149";"322";"1630";"-";"-";"33";"9";"743";"75";"966";"4";"131";"-";"9";"2060";"131";"1688";"24";"231";"-";"9"
"195";"823001";"823001";"102";"17";"3";"8";"20";"161";"286";"163";"79";"-";"8";"32";"345";"824";"500";"265";"-";"641";"55";"12";"8";"-";"1";"-";"1834";"104";"21";"8";"-";"7";"-";"629";"25";"8";"-";"55";"-";"-";"1798";"37";"8";"-";"131";"-";"-"
"195";"823002";"823002";"102";"17";"3";"1";"30";"51";"62";"40";"41";"-";"3";"33";"116";"174";"115";"134";"-";"193";"20";"11";"-";"-";"1";"-";"525";"27";"20";"-";"-";"3";"-";"169";"-";"16";"14";"26";"-";"-";"473";"-";"23";"14";"65";"-";"-"
"195";"823003";"823003";"102";"17";"3";"1";"44";"119";"112";"56";"59";"3";"1";"60";"231";"293";"164";"197";"8";"330";"40";"18";"-";"-";"3";"3";"847";"59";"26";"-";"-";"14";"8";"276";"15";"19";"13";"68";"-";"3";"733";"21";"32";"16";"144";"-";"8"
"195";"823004";"823004";"102";"17";"3";"-";"16";"74";"87";"50";"45";"1";"-";"26";"154";"224";"122";"136";"2";"256";"11";"4";"-";"1";"-";"1";"631";"16";"13";"-";"2";"-";"2";"234";"5";"-";"-";"33";"-";"1";"592";"7";"-";"-";"63";"-";"2"
"195";"823005";"823005";"102";"17";"3";"-";"17";"72";"65";"31";"34";"3";"-";"29";"144";"177";"97";"117";"13";"208";"8";"2";"-";"-";"1";"3";"545";"9";"8";"-";"-";"2";"13";"180";"6";"10";"-";"23";"-";"3";"481";"6";"14";"-";"63";"-";"13"
"195";"823006";"823006";"102";"17";"3";"-";"9";"32";"43";"39";"26";"-";"-";"15";"73";"116";"116";"88";"-";"145";"-";"3";"-";"-";"1";"-";"400";"-";"4";"-";"-";"4";"-";"129";"-";"-";"-";"20";"-";"-";"354";"-";"-";"-";"54";"-";"-"
"195";"823007";"823007";"102";"17";"3";"2";"8";"44";"43";"28";"29";"-";"5";"14";"103";"119";"99";"85";"-";"142";"1";"7";"-";"-";"4";"-";"401";"2";"12";"-";"-";"10";"-";"121";"-";"-";"-";"33";"-";"-";"348";"-";"-";"-";"77";"-";"-"
"195";"823008";"823008";"102";"17";"3";"291";"1281";"1591";"972";"446";"231";"34";"314";"1663";"3256";"2522";"1264";"668";"54";"2095";"451";"2039";"87";"-";"140";"34";"5432";"875";"3134";"91";"-";"155";"54";"2180";"161";"818";"89";"1549";"15";"34";"5445";"216";"1411";"110";"2484";"21";"54"
"195";"825005";"825005";"95";"17";"3";"4";"38";"127";"122";"36";"38";"-";"11";"50";"219";"266";"86";"97";"-";"330";"14";"17";"-";"-";"4";"-";"668";"20";"31";"-";"-";"10";"-";"320";"-";"5";"8";"32";"-";"-";"658";"-";"6";"9";"56";"-";"-"
"195";"825015";"825015";"95";"17";"3";"3";"98";"154";"135";"49";"41";"1";"3";"117";"285";"310";"124";"94";"1";"354";"92";"28";"-";"2";"4";"1";"776";"102";"39";"-";"5";"11";"1";"310";"-";"31";"52";"86";"1";"1";"688";"-";"40";"62";"142";"1";"1"
"195";"825020";"825020";"95";"17";"3";"1";"36";"70";"79";"34";"13";"-";"2";"48";"128";"184";"87";"33";"-";"200";"18";"13";"-";"-";"2";"-";"438";"22";"19";"-";"-";"3";"-";"190";"-";"16";"6";"21";"-";"-";"422";"-";"18";"7";"35";"-";"-"
"195";"827001";"827001";"103";"17";"3";"54";"437";"748";"552";"315";"179";"19";"59";"560";"1401";"1381";"821";"666";"37";"1275";"327";"653";"-";"-";"30";"19";"3227";"603";"909";"-";"-";"149";"37";"1318";"57";"358";"8";"532";"12";"19";"3240";"84";"581";"111";"859";"13";"37"
"195";"827002";"827002";"103";"17";"3";"2";"19";"61";"71";"42";"39";"-";"2";"26";"110";"148";"105";"104";"-";"216";"9";"8";"-";"-";"1";"-";"464";"12";"17";"-";"-";"2";"-";"197";"-";"7";"-";"30";"-";"-";"431";"-";"7";"-";"57";"-";"-"
"195";"827003";"827003";"103";"17";"3";"2";"24";"101";"136";"84";"92";"1";"6";"37";"202";"349";"254";"279";"1";"419";"6";"10";"-";"2";"2";"1";"1089";"18";"12";"-";"4";"4";"1";"367";"-";"-";"-";"72";"-";"1";"950";"-";"-";"-";"177";"-";"1"
