ValgId;Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;Stemmeberettigede;Afgivne stemmer;Blanke stemmer;Andre ugyldige stemmer;Gyldige stemmer;A. Socialdemokratiet;B. Det Radikale Venstre;C. Det Konservative Folkeparti;D. Centrum-Demokraterne;F. SF - Socialistisk Folkeparti;K. Kristendemokraterne;I. Liberal Alliance;O. Dansk Folkeparti;V. Venstre, Danmarks Liberale Parti;M. Minoritetspartiet;Y. Ny Alliance;Ø. Enhedslisten - De Rød-Grønne;1. Uden for partierne;Å. Alternativet;2. Uden for partierne;3. Uden for partierne;4. Uden for partierne;5. Uden for partierne;6. Uden for partierne
2015;157003;157003;13;2;1;5201;4426;23;7;4396;767;457;490;-;147;12;779;394;941;-;-;185;2;221;1;-;-;-;-
2015;157004;157004;13;2;1;5277;4415;43;17;4355;963;316;335;-;177;20;527;725;696;-;-;337;0;259;0;-;-;-;-
2015;157005;157005;13;2;1;5017;4550;31;5;4514;832;538;447;-;170;9;704;476;845;-;-;242;3;248;0;-;-;-;-
2015;157006;157006;13;2;1;5617;5174;24;10;5140;798;518;587;-;134;6;984;422;1218;-;-;208;0;262;3;-;-;-;-
2015;157007;157007;13;2;1;6029;5433;31;20;5382;917;479;461;-;171;23;1013;494;1171;-;-;299;3;350;1;-;-;-;-
2015;157008;157008;13;2;1;4394;3950;23;2;3925;617;327;415;-;123;16;741;407;893;-;-;191;1;194;0;-;-;-;-
2015;157009;157009;13;2;1;5019;4534;23;10;4501;619;392;499;-;93;12;1023;358;1108;-;-;185;3;209;0;-;-;-;-
2015;157010;157010;13;2;1;4586;4072;22;7;4043;605;316;493;-;100;12;760;479;924;-;-;147;0;205;2;-;-;-;-
2015;159001;159001;15;2;1;4801;4144;35;13;4096;1101;328;205;-;211;26;421;560;647;-;-;354;0;243;0;-;-;-;-
2015;159002;159002;15;2;1;6226;5278;65;17;5196;1595;313;147;-;286;20;338;968;671;-;-;545;2;311;0;-;-;-;-
2015;159003;159003;15;2;1;5899;4939;37;17;4885;1452;236;133;-;237;18;330;1079;722;-;-;476;7;194;1;-;-;-;-
2015;159004;159004;15;2;1;6360;5395;50;13;5332;1658;369;118;-;325;36;305;882;569;-;-;688;11;371;0;-;-;-;-
2015;159005;159005;15;2;1;6273;5292;52;13;5227;1694;269;118;-;272;16;351;1122;636;-;-;547;3;198;1;-;-;-;-
2015;159006;159006;15;2;1;6097;5479;52;8;5419;1605;483;207;-;306;27;521;655;813;-;-;438;2;362;0;-;-;-;-
2015;159007;159007;15;2;1;3773;3342;29;3;3310;941;269;107;-;216;15;251;511;415;-;-;330;3;251;1;-;-;-;-
2015;159008;159008;15;2;1;4455;3796;22;6;3768;1100;223;119;-;170;22;322;744;600;-;-;301;2;165;0;-;-;-;-
2015;159009;159009;15;2;1;2377;1848;10;8;1830;483;142;71;-;104;6;158;296;260;-;-;216;2;92;0;-;-;-;-
2015;161001;161001;20;2;1;2286;2072;19;4;2049;637;76;62;-;84;6;145;490;373;-;-;121;2;53;0;-;-;-;-
2015;161002;161002;20;2;1;2520;2089;22;3;2064;572;89;64;-;76;6;145;532;339;-;-;144;4;90;3;-;-;-;-
2015;161003;161003;20;2;1;4194;3380;26;10;3344;1064;94;86;-;119;18;221;915;438;-;-;261;9;118;1;-;-;-;-
2015;161004;161004;20;2;1;3041;2456;15;14;2427;945;62;23;-;97;4;86;720;182;-;-;236;2;64;6;-;-;-;-
2015;161005;161005;20;2;1;1452;1347;14;2;1331;279;53;41;-;38;6;122;295;410;-;-;55;0;32;0;-;-;-;-
2015;161006;161006;20;2;1;2638;2258;9;6;2243;712;50;58;-;91;7;140;607;346;-;-;165;2;65;0;-;-;-;-
2015;163001;163001;16;2;1;6963;5766;68;17;5681;1992;191;162;-;257;37;291;1368;585;-;-;572;3;221;2;-;-;-;-
2015;163002;163002;16;2;1;6298;5700;37;11;5652;2005;203;217;-;246;67;349;1117;890;-;-;393;5;159;1;-;-;-;-
2015;163003;163003;16;2;1;6487;5350;61;9;5280;1613;210;161;-;312;37;308;1142;619;-;-;604;4;270;0;-;-;-;-
2015;165001;165001;19;2;1;4457;3838;45;20;3773;1036;133;116;-;247;18;188;729;382;-;-;663;1;258;2;-;-;-;-
2015;165002;165002;19;2;1;3218;2842;21;16;2805;925;106;82;-;189;8;119;617;309;-;-;327;7;116;0;-;-;-;-
2015;165003;165003;19;2;1;3077;2413;18;21;2374;740;146;33;-;225;10;82;524;168;-;-;313;8;122;3;-;-;-;-
2015;165004;165004;19;2;1;3267;2555;24;22;2509;899;74;39;-;188;9;55;645;128;-;-;370;8;92;2;-;-;-;-
2015;165005;165005;19;2;1;4282;3593;27;20;3546;1236;179;69;-;249;18;153;601;287;-;-;528;8;218;0;-;-;-;-
2015;167001;167001;17;2;1;4021;3486;30;4;3452;966;163;113;-;207;17;233;772;449;-;-;316;6;206;4;-;-;-;-
2015;167002;167002;17;2;1;3277;2753;16;4;2733;870;91;61;-;135;10;165;738;333;-;-;232;12;86;0;-;-;-;-
2015;167003;167003;17;2;1;4345;3562;37;10;3515;1170;94;67;-;193;8;171;932;366;-;-;369;13;131;1;-;-;-;-
2015;167004;167004;17;2;1;4629;3904;30;11;3863;1279;140;78;-;224;11;197;977;418;-;-;393;3;143;0;-;-;-;-
2015;167005;167005;17;2;1;5085;4427;37;9;4381;1333;187;107;-;212;33;308;1014;629;-;-;375;1;182;0;-;-;-;-
2015;167006;167006;17;2;1;5182;4400;37;7;4356;1575;151;103;-;182;12;229;1056;527;-;-;364;8;149;0;-;-;-;-
2015;167007;167007;17;2;1;5575;4733;31;4;4698;1509;144;127;-;209;29;279;1257;675;-;-;326;23;119;1;-;-;-;-
2015;167008;167008;17;2;1;4684;3631;35;4;3592;1036;142;74;-;188;16;156;1018;355;-;-;452;38;116;1;-;-;-;-
2015;169001;169001;19;2;1;2388;1734;15;10;1709;488;47;80;-;89;8;120;433;199;-;-;164;2;79;0;-;-;-;-
2015;169002;169002;19;2;1;3260;2763;31;4;2728;832;116;164;-;98;10;144;622;415;-;-;218;8;100;1;-;-;-;-
2015;169003;169003;19;2;1;2467;2202;19;6;2177;589;81;162;-;79;11;170;513;391;-;-;129;4;48;0;-;-;-;-
2015;169004;169004;19;2;1;2120;1831;20;4;1807;567;57;106;-;68;5;104;469;296;-;-;89;2;44;0;-;-;-;-
2015;169005;169005;19;2;1;1606;1451;8;4;1439;472;28;80;-;66;5;72;329;235;-;-;99;1;52;0;-;-;-;-
2015;169006;169006;19;2;1;4135;3149;27;18;3104;862;172;145;-;213;14;190;695;382;-;-;301;7;121;2;-;-;-;-
2015;169007;169007;19;2;1;3184;2675;36;9;2630;899;51;90;-;108;9;136;724;344;-;-;180;0;89;0;-;-;-;-
2015;169008;169008;19;2;1;2769;2306;23;9;2274;672;75;83;-;129;12;132;623;276;-;-;195;2;74;1;-;-;-;-
2015;169009;169009;19;2;1;1881;1655;13;1;1641;368;65;88;-;40;10;128;426;344;-;-;105;1;66;0;-;-;-;-
2015;169010;169010;19;2;1;1881;1391;16;10;1365;405;46;55;-;79;6;41;390;211;-;-;94;3;35;0;-;-;-;-
2015;169011;169011;19;2;1;3427;2920;30;10;2880;815;91;101;-;92;8;175;855;471;-;-;190;0;81;1;-;-;-;-
2015;169012;169012;19;2;1;2996;2720;27;4;2689;760;95;156;-;100;11;168;702;479;-;-;123;1;94;0;-;-;-;-
2015;169013;169013;19;2;1;612;567;3;0;564;131;26;35;-;20;0;49;138;109;-;-;29;0;27;0;-;-;-;-
2015;173001;173001;14;2;1;4773;4045;39;13;3993;927;305;245;-;166;19;486;559;747;-;-;277;6;255;1;-;-;-;-
2015;173002;173002;14;2;1;4306;3668;32;17;3619;1060;213;141;-;192;21;319;667;477;-;-;316;3;210;0;-;-;-;-
2015;173003;173003;14;2;1;4639;3998;50;10;3938;787;307;263;-;164;17;653;480;720;-;-;305;7;235;0;-;-;-;-
2015;173004;173004;14;2;1;4983;4469;40;12;4417;969;391;275;-;176;15;649;562;912;-;-;239;0;229;0;-;-;-;-
2015;173005;173005;14;2;1;1100;1025;5;8;1012;221;103;78;-;39;1;159;74;192;-;-;62;1;82;0;-;-;-;-
2015;173006;173006;14;2;1;4741;4437;26;6;4405;837;486;467;-;159;14;716;331;975;-;-;191;0;229;0;-;-;-;-
2015;173007;173007;14;2;1;3500;3252;20;4;3228;772;374;251;-;159;15;370;324;627;-;-;177;1;158;0;-;-;-;-
2015;173008;173008;14;2;1;3852;3393;31;7;3355;830;279;207;-;164;9;332;502;602;-;-;247;1;181;1;-;-;-;-
2015;173009;173009;14;2;1;2165;2044;17;3;2024;497;274;141;-;110;9;191;182;350;-;-;131;0;139;0;-;-;-;-
2015;173010;173010;14;2;1;4488;3905;25;6;3874;1004;316;292;-;221;13;364;507;629;-;-;290;0;238;0;-;-;-;-
2015;175001;175001;16;2;1;3125;2732;16;5;2711;813;145;87;-;134;18;183;543;390;-;-;262;3;133;0;-;-;-;-
2015;175003;175003;16;2;1;5772;4939;31;23;4885;1591;228;146;-;282;35;317;977;598;-;-;464;0;246;1;-;-;-;-
2015;175004;175004;16;2;1;3733;2905;35;26;2844;1071;82;47;-;142;9;111;665;247;-;-;338;8;123;1;-;-;-;-
2015;175005;175005;16;2;1;6206;5215;45;21;5149;1767;207;119;-;278;22;259;1215;571;-;-;521;3;187;0;-;-;-;-
2015;175007;175007;16;2;1;4183;3510;32;7;3471;1225;98;100;-;194;18;173;835;395;-;-;299;4;130;0;-;-;-;-
2015;175008;175008;16;2;1;3954;3426;29;9;3388;1123;124;112;-;122;25;193;804;470;-;-;288;3;122;2;-;-;-;-
2015;183001;183001;18;2;1;1263;1126;8;2;1116;278;53;38;-;43;7;106;276;225;-;-;49;1;40;0;-;-;-;-
2015;183002;183002;18;2;1;2616;2250;9;9;2232;830;51;48;-;109;6;75;635;277;-;-;143;6;52;0;-;-;-;-
2015;183003;183003;18;2;1;3530;2779;13;8;2758;931;64;39;-;198;6;92;837;265;-;-;239;9;77;1;-;-;-;-
2015;183004;183004;18;2;1;2585;1645;12;15;1618;625;47;15;-;177;2;49;341;115;-;-;188;8;51;0;-;-;-;-
2015;183005;183005;18;2;1;3499;2915;25;15;2875;948;103;47;-;136;10;173;756;397;-;-;202;5;97;1;-;-;-;-
2015;185001;185001;12;1;1;4504;3960;19;15;3926;954;123;114;-;148;11;241;1357;588;-;-;268;6;116;0;0;0;-;-
2015;185002;185002;12;1;1;5119;4560;31;4;4525;1268;197;176;-;216;18;266;1201;746;-;-;322;4;111;0;0;0;-;-
2015;185003;185003;12;1;1;4836;4041;30;11;4000;1306;142;83;-;222;16;158;1146;443;-;-;350;7;127;0;0;0;-;-
2015;185004;185004;12;1;1;4100;3401;31;13;3357;1036;132;75;-;178;17;188;823;446;-;-;307;2;152;0;0;1;-;-
2015;185005;185005;12;1;1;3636;3178;20;15;3143;821;142;91;-;127;10;202;867;514;-;-;226;5;136;0;1;1;-;-
