"year","valgstedid","voters","votes","a","b","c","v","vsnavn","komnavn","kredsnavn","kontanthjaelp","arbejd","boligstoer_kvm","ejer","formue","indkomst","indkomst_80pct"
2005,"101023",4854,4099,0.1985850207,0.2498170285,0.0758721639,0.1268602098,"5. Øst","København","5. Nørrebro",0.0494404435,0.660738945,79.67597765,0.082960894,174244.34375,385555.15625,585999
2007,"101023",4703,4084,0.2152301665,0.1209598433,0.0737022527,0.0937806072,"5. Øst","København","5. Nørrebro",0.0494404435,0.660738945,79.67597765,0.082960894,174244.34375,385555.15625,585999
2011,"101023",5050,4471,0.1460523373,0.2129277567,0.0427197495,0.0939387162,"5. Øst","København","5. Nørrebro",0.0494404435,0.660738945,80.64234621,0.076725613,174244.34375,385555.15625,585999
2015,"101023",5397,4722,0.179373147,0.1361711139,0.0196950445,0.0667090216,"5. Øst","København","5. Nørrebro",0.0494404435,0.660738945,80.64234621,0.076725613,174244.34375,385555.15625,585999
2005,"101024",6033.42,4991.74,0.2262838209,0.209097429,0.061387412,0.1120751481,"5. Vest","København","5. Nørrebro",0.0616595596,0.6631682515,72.03088002,0.04742113,-68765.9609375,360916.125,538159
2007,"101024",6350,5446,0.2331986779,0.0991553434,0.0609621741,0.0793242747,"5. Vest","København","5. Nørrebro",0.0616595596,0.6631682515,72.11664154,0.047246103,-68765.9609375,360916.125,538159
2011,"101024",6700,5891,0.1694109659,0.1821422509,0.0302155831,0.0808012222,"5. Vest","København","5. Nørrebro",0.0616595596,0.6631682515,75.00211327,0.032544379,-68765.9609375,360916.125,538159
2015,"101024",6962,6018,0.1756397474,0.1101694915,0.0103024261,0.0518444666,"5. Vest","København","5. Nørrebro",0.0616595596,0.6631682515,75.00211327,0.032544379,-68765.9609375,360916.125,538159
2005,"101025",9682.58,7853.01,0.208250085,0.234219745,0.0616298719,0.1182896749,"5. Nordvest","København","5. Nørrebro",0.0652121529,0.6439247727,66.94082206,0.096934769,-40361.84375,324411.375,474275
2007,"101025",9031,7564,0.2309624537,0.1035166579,0.0584346906,0.0798519302,"5. Nordvest","København","5. Nørrebro",0.0652121529,0.6439247727,66.94054862,0.096935282,-40361.84375,324411.375,474275
2011,"101025",9511,8275,0.1509365559,0.2012084592,0.0269486405,0.0741993958,"5. Nordvest","København","5. Nørrebro",0.0652121529,0.6439247727,69.19244962,0.086703562,-40361.84375,324411.375,474275
2015,"101025",10010,8565,0.1649737303,0.1020431991,0.0137769994,0.0535901926,"5. Nordvest","København","5. Nørrebro",0.0652121529,0.6439247727,69.19244962,0.086703562,-40361.84375,324411.375,474275
2005,"101026",3203,2482,0.212731668,0.2405318292,0.0737308622,0.0962933118,"5. Midt","København","5. Nørrebro",0.0533642694,0.5857179761,,0.10398482,159618.046875,292805.1875,425356
2007,"101026",3109,2472,0.2164239482,0.1229773463,0.072815534,0.090210356,"5. Midt","København","5. Nørrebro",0.0533642694,0.5857179761,,0.10398482,159618.046875,292805.1875,425356
2011,"101026",3203,2674,0.1544502618,0.2086761406,0.0396409873,0.0923709798,"5. Midt","København","5. Nørrebro",0.0533642694,0.5857179761,66.35037954,0.079105074,159618.046875,292805.1875,425356
2015,"101026",3267,2736,0.1867690058,0.1085526316,0.0197368421,0.0687134503,"5. Midt","København","5. Nørrebro",0.0533642694,0.5857179761,66.35037954,0.079105074,159618.046875,292805.1875,425356
2005,"101027",13888.61,10327.95,0.272492605,0.1478851079,0.0680038149,0.140209819,"6. Bispebjerg","København","6. Utterslev",0.062352147,0.6094723344,60.54888675,0.089399535,63421.1015625,321837.3125,4713215
2007,"101027",14474,11311,0.254265759,0.0745292193,0.0808062948,0.1144019096,"6. Bispebjerg","København","6. Utterslev",0.062352147,0.6094723344,60.60933745,0.090039776,63421.1015625,321837.3125,4713215
2011,"101027",14680,11799,0.2002712094,0.1464530892,0.0410204255,0.1139079583,"6. Bispebjerg","København","6. Utterslev",0.062352147,0.6094723344,63.9214939,0.102522858,63421.1015625,321837.3125,4713215
2015,"101027",15285,11720,0.2060580205,0.0789249147,0.019112628,0.0731228669,"6. Bispebjerg","København","6. Utterslev",0.062352147,0.6094723344,63.9214939,0.102522858,63421.1015625,321837.3125,4713215
2005,"101028",6504.22,5142.53,0.2523018825,0.1493739463,0.0784808256,0.1409422988,"6. Nord","København","6. Utterslev",0.054243844,0.5598412156,67.34328836,0.18838344,460242.90625,363486.25,543376
2007,"101028",7082,5732,0.2723307746,0.0764131193,0.0769364969,0.1051988835,"6. Nord","København","6. Utterslev",0.054243844,0.5598412156,66.65821846,0.178887973,460242.90625,363486.25,543376
2011,"101028",7101,5836,0.2308087731,0.1398217958,0.0423235093,0.1110349554,"6. Nord","København","6. Utterslev",0.054243844,0.5598412156,69.06516609,0.143608341,460242.90625,363486.25,543376
2015,"101028",7293,5774,0.2554554901,0.0753377208,0.0259785244,0.076550052,"6. Nord","København","6. Utterslev",0.054243844,0.5598412156,69.06516609,0.143608341,460242.90625,363486.25,543376
2005,"101029",4051,3186,0.3013182674,0.1236660389,0.0649717514,0.1494036409,"6. Øst","København","6. Utterslev",0.0537123382,0.5615136027,69.69850841,0.086004443,365473.34375,350184.09375,518419
2007,"101029",3997,3331,0.3098168718,0.0546382468,0.0711498049,0.1104773341,"6. Øst","København","6. Utterslev",0.0537123382,0.5615136027,69.69850841,0.086004443,365473.34375,350184.09375,518419
2011,"101029",3919,3265,0.2578866769,0.1053598775,0.0416539051,0.1173047473,"6. Øst","København","6. Utterslev",0.0537123382,0.5615136027,69.32339089,0.107378336,365473.34375,350184.09375,518419
2015,"101029",4040,3243,0.2799876657,0.0595127968,0.022818378,0.0764724021,"6. Øst","København","6. Utterslev",0.0537123382,0.5615136027,69.32339089,0.107378336,365473.34375,350184.09375,518419
2005,"101030",9438.97,7191.5,0.2618090802,0.1653326844,0.0701898074,0.1445150525,"6. Syd","København","6. Utterslev",0.0691413134,0.6142243147,62.64749347,0.07845946,-31205.369140625,312019.15625,452822
2007,"101030",8219,6562,0.2648582749,0.0848826577,0.0693386163,0.1025601951,"6. Syd","København","6. Utterslev",0.0691413134,0.6142243147,62.64755593,0.078458464,-31205.369140625,312019.15625,452822
2011,"101030",8881,7243,0.1953610382,0.1459340052,0.0335496341,0.0994063233,"6. Syd","København","6. Utterslev",0.0691413134,0.6142243147,63.93441415,0.057012375,-31205.369140625,312019.15625,452822
