year;valgstedid;voters;votes;a;b;c;v;vsnavn;komnavn;kredsnavn;kontanthjaelp;arbejd;boligstoer_kvm;ejer;formue;indkomst;indkomst_80pct
2011;840011;542;466;.2210300429184549;.1008583690987124;.0407725321888412;.3068669527896996;Veggerby;Rebild;5. Himmerland;.0430247709155083;.6414602398872376;146.3087248;.880398671;1472366.625;535805.875;7354585
2015;840011;522;453;.2008830022075055;.0529801324503311;.0154525386313466;.3200883002207506;Veggerby;Rebild;5. Himmerland;.0430247709155083;.6414602398872376;146.3087248;.880398671;1472366.625;535805.875;7354585
2005;846002;1836;1583;.3543903979785218;.051168667087808;.0739102969046115;.2501579279848389;Assens;Mariagerfjord;6. Mariagerfjord;.0437224246561527;.5483353137969971;124.5689655;.74137931;577428;458394.40625;671221
2007;846002;1851;1632;.3174019607843137;.0337009803921569;.0980392156862745;.2040441176470588;Assens;Mariagerfjord;6. Mariagerfjord;.0437224246561527;.5483353137969971;124.5689655;.74137931;577428;458394.40625;671221
2011;846002;1860;1615;.3770897832817338;.0520123839009288;.0377708978328173;.2191950464396285;Assens;Mariagerfjord;6. Mariagerfjord;.0437224246561527;.5483353137969971;127.1769663;.723977695;577428;458394.40625;671221
2015;846002;1838;1557;.3288375080282595;.0218368657675016;.0186255619781631;.1438664097623635;Assens;Mariagerfjord;6. Mariagerfjord;.0437224246561527;.5483353137969971;127.1769663;.723977695;577428;458394.40625;671221
2005;846003;3082;2541;.2148760330578513;.0657221566312475;.1038961038961039;.3353010625737898;Mariager;Mariagerfjord;6. Mariagerfjord;.0304702501744032;.5583013296127319;129.3955043;.690157959;1006674.9375;478663.375;7076905
2007;846003;3118;2659;.2136141406543813;.0383602858217375;.1402783001128244;.3001128243700639;Mariager;Mariagerfjord;6. Mariagerfjord;.0304702501744032;.5583013296127319;129.3955043;.690157959;1006674.9375;478663.375;7076905
2011;846003;3159;2690;.2267657992565056;.0825278810408922;.0631970260223048;.3070631970260223;Mariager;Mariagerfjord;6. Mariagerfjord;.0304702501744032;.5583013296127319;128.5326689;.6512651270000001;1006674.9375;478663.375;7076905
2015;846003;3146;2651;.2350056582421728;.034326669181441;.043757072802716;.2334967936627688;Mariager;Mariagerfjord;6. Mariagerfjord;.0304702501744032;.5583013296127319;128.5326689;.6512651270000001;1006674.9375;478663.375;7076905
