"Afstemningsområde","Opstillingskreds","Storkreds","Landsdel","Filnavn","Stemmeberettigede","IAltGyldigeStemmer","BlankeStemmer","AndreUgyldigeStemmer","IAltAfgivneStemmer","A","B","C","F","I","K","O","V","Ø","Å","UdenForParti","adrstring","lat","lon","zip","muninum","area","hp_1yr","hp_2yr","incsupport","hp_1yrposchange","hp_1yrnegchange","hp_2yrposchange","hp_2yrnegchange"
"11. Kreds, Rådhuset","11. Slots","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494691.xml",9890,8395,69,21,8485,1838,879,506,470,964,36,862,1110,997,718,15,"Kreds, Rådhuset, Slots, Denmark",NA,NA,NA,NA,NA,NA,NA,32.3645,NA,NA,NA,NA
"11. Kreds, Nyelandsvej","11. Slots","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494692.xml",7936,7109,64,21,7194,1466,826,334,441,847,22,626,887,904,747,9,"Kreds, Nyelandsvej, Slots, Denmark",NA,NA,NA,NA,NA,NA,NA,32.2408,NA,NA,NA,NA
"Tapeten","8. Ballerup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494778.xml",4257,3492,36,18,3546,1412,79,50,132,147,12,993,320,239,105,3,"Tapeten, Ballerup, Denmark",55.7191,12.3626,2750,151,"2750 Ballerup",17.797,13.4203,42.6976,17.797,0,13.4203,0
"Rugvængets Skole","8. Ballerup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494779.xml",6228,4973,43,18,5034,1890,105,89,220,212,27,1273,507,488,158,4,"Rugvængets Skole, Ballerup, Denmark",55.7265,12.3606,2750,151,"2750 Ballerup",17.797,13.4203,40.1166,17.797,0,13.4203,0
"Højagerskolen","8. Ballerup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494780.xml",2656,2385,35,3,2423,806,93,76,88,165,6,540,389,131,90,1,"Højagerskolen, Ballerup, Denmark",55.7423,12.3671,2750,151,"2750 Ballerup",17.797,13.4203,37.6939,17.797,0,13.4203,0
"Grantoftehallen","8. Ballerup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494781.xml",2786,2265,27,5,2297,852,28,27,108,96,4,656,199,227,63,5,"Grantoftehallen, Ballerup, Denmark",55.7245,12.3548,2750,151,"2750 Ballerup",17.797,13.4203,38.8521,17.797,0,13.4203,0
"Rosenlundskolen","8. Ballerup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494782.xml",3678,3354,38,8,3400,1125,160,101,124,262,36,653,623,173,97,0,"Rosenlundskolen, Ballerup, Denmark",55.717,12.399,2740,151,"2740 Skovlunde",13.9135,15.7315,38.3125,13.9135,0,15.7315,0
"Lundebjergskolen","8. Ballerup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494783.xml",3844,3055,28,11,3094,1300,48,28,133,68,8,884,202,292,89,3,"Lundebjergskolen, Ballerup, Denmark",55.721,12.4143,2740,151,"2740 Skovlunde",13.9135,15.7315,44.1244,13.9135,0,15.7315,0
"Tidl. Skovlunde Lokalkontor","8. Ballerup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494784.xml",1669,1454,17,3,1474,437,83,37,60,130,35,279,254,90,48,1,"Tidl. Skovlunde Lokalkontor, Ballerup, Denmark",55.7245,12.3548,2750,151,"2750 Ballerup",17.797,13.4203,35.7634,17.797,0,13.4203,0
"Måløv Ny Hal","8. Ballerup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494785.xml",4084,3610,25,2,3637,1168,177,124,183,258,25,696,618,223,138,0,"Måløv Ny Hal, Ballerup, Denmark",55.7245,12.3548,2750,151,"2750 Ballerup",17.797,13.4203,37.2576,17.797,0,13.4203,0
"Egebjerghallen","8. Ballerup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494786.xml",3224,2945,27,9,2981,918,182,94,140,231,20,464,485,227,183,1,"Egebjerghallen, Ballerup, Denmark",55.7245,12.3548,2750,151,"2750 Ballerup",17.797,13.4203,37.3514,17.797,0,13.4203,0
"Østerhøjhallen","8. Ballerup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494787.xml",2082,1890,14,4,1908,579,105,48,108,142,3,329,270,188,116,2,"Østerhøjhallen, Ballerup, Denmark",55.7245,12.3548,2750,151,"2750 Ballerup",17.797,13.4203,36.1905,17.797,0,13.4203,0
"Brøndbyvester Skole","6. Brøndby","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494747.xml",3254,2876,15,7,2898,1001,90,51,101,133,3,814,417,167,89,10,"Brøndbyvester Skole, Brøndby, Denmark",55.6493,12.402,2605,153,"2605 Brøndby",5.57244,15.7563,37.9346,5.57244,0,15.7563,0
"Tjørnehøjhallen","6. Brøndby","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494748.xml",3518,2752,20,6,2778,1018,54,49,102,126,6,789,321,210,66,11,"Tjørnehøjhallen, Brøndby, Denmark",55.6473,12.4149,2605,153,"2605 Brøndby",5.57244,15.7563,38.9535,5.57244,0,15.7563,0
"Lindelundshallen","6. Brøndby","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494749.xml",3044,2485,22,19,2526,836,55,41,118,111,8,726,280,222,78,10,"Lindelundshallen, Brøndby, Denmark",55.6473,12.4149,2605,153,"2605 Brøndby",5.57244,15.7563,35.8551,5.57244,0,15.7563,0
"Nørregård","6. Brøndby","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494750.xml",5510,4411,35,17,4463,1681,131,72,194,183,14,1156,427,409,130,14,"Nørregård, Brøndby, Denmark",55.6908,12.4493,2610,175,"2610 Rødovre",13.1248,18.7557,41.0791,13.1248,0,18.7557,0
"Kulturhuset Brønden","6. Brøndby","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494751.xml",8438,6260,41,27,6328,2099,280,96,355,286,24,1528,672,683,194,43,"Kulturhuset Brønden, Brøndby, Denmark",55.6473,12.4149,2605,153,"2605 Brøndby",5.57244,15.7563,38.0032,5.57244,0,15.7563,0
"Dragør Skole Syd","12. Tårnby","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494693.xml",3805,3399,25,8,3432,770,200,247,118,458,3,573,727,178,124,1,"Dragør Skole Syd, Tårnby, Denmark",55.5684,12.5953,2791,155,"2791 Dragør",6.78857,4.99242,28.5378,6.78857,0,4.99242,0
