"Afstemningsområde","Opstillingskreds","Storkreds","Landsdel","Filnavn","Stemmeberettigede","IAltGyldigeStemmer","BlankeStemmer","AndreUgyldigeStemmer","IAltAfgivneStemmer","A","B","C","F","I","K","O","V","Ø","Å","UdenForParti","adrstring","lat","lon","zip","muninum","area","hp_1yr","hp_2yr","incsupport","hp_1yrposchange","hp_1yrnegchange","hp_2yrposchange","hp_2yrnegchange"
"Hadsundvejens Skole","7. Randers Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495585.xml",4366,3350,27,15,3392,1054,103,87,147,242,18,707,475,352,155,10,"Hadsundvejens Skole, Randers Syd, Denmark",56.466,10.0393,8900,730,"8900 Randers C",18.7361,7.08978,34.5373,18.7361,0,7.08978,0
"Hobrovejens Skole","7. Randers Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495586.xml",3218,2514,28,10,2552,725,85,70,94,216,15,557,411,212,119,10,"Hobrovejens Skole, Randers Syd, Denmark",56.4668,10.0231,8900,730,"8900 Randers C",18.7361,7.08978,32.2196,18.7361,0,7.08978,0
"Nyvangsskolen","6. Randers Nord","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495575.xml",4204,3410,28,10,3448,1331,59,63,131,129,29,874,448,252,81,13,"Nyvangsskolen, Randers Nord, Denmark",56.4753,10.0241,8920,730,"8920 Randers NV",18.5775,12.2701,40.7625,18.5775,0,12.2701,0
"Nørrevangsskolen","6. Randers Nord","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495576.xml",3857,2858,38,5,2901,1127,47,38,96,128,23,736,259,322,72,10,"Nørrevangsskolen, Randers Nord, Denmark",56.477,10.0377,8930,730,"8930 Randers NØ",-16.5695,-0.685519,41.0777,0,16.5695,0,0.685519
"Fritidscentret","7. Randers Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495587.xml",4027,2905,43,19,2967,779,98,76,93,272,35,614,474,305,141,18,"Fritidscentret, Randers Syd, Denmark",NA,NA,NA,NA,NA,NA,NA,30.1893,NA,NA,NA,NA
"Vestervangsskolen","6. Randers Nord","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495577.xml",5222,4318,40,18,4376,1502,116,116,146,277,35,870,825,307,116,8,"Vestervangsskolen, Randers Nord, Denmark",56.4728,10.008,8920,730,"8920 Randers NV",18.5775,12.2701,37.4711,18.5775,0,12.2701,0
"Østervangsskolen","6. Randers Nord","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495578.xml",3085,2420,22,8,2450,945,46,45,95,86,12,546,313,234,95,3,"Østervangsskolen, Randers Nord, Denmark",NA,NA,NA,NA,NA,NA,NA,40.9504,NA,NA,NA,NA
"Søndermarkskolen","7. Randers Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495588.xml",6034,5162,35,12,5209,1775,129,115,183,316,66,1171,978,268,154,7,"Søndermarkskolen, Randers Syd, Denmark",NA,NA,NA,NA,NA,NA,NA,36.8849,NA,NA,NA,NA
"Kristrup Skole","7. Randers Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495589.xml",3348,2807,26,4,2837,920,78,75,83,179,62,618,511,195,82,4,"Kristrup Skole, Randers Syd, Denmark",56.4458,10.0573,8960,730,"8960 Randers SØ",8.74069,11.9337,35.554,8.74069,0,11.9337,0
"Paderup Gymnasium","7. Randers Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495590.xml",1620,1367,10,3,1380,378,38,47,26,94,15,332,354,50,32,1,"Paderup Gymnasium, Randers Syd, Denmark",56.432,10.0744,8960,730,"8960 Randers SØ",8.74069,11.9337,30.4316,8.74069,0,11.9337,0
"Romalt Aktivitetshal","7. Randers Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495591.xml",2457,2218,13,4,2235,687,57,58,41,137,57,525,518,96,39,3,"Romalt Aktivitetshal, Randers Syd, Denmark",NA,NA,NA,NA,NA,NA,NA,33.5437,NA,NA,NA,NA
"Assentofthallen","7. Randers Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495592.xml",2984,2599,16,5,2620,619,72,73,38,227,34,579,822,83,51,1,"Assentofthallen, Randers Syd, Denmark",56.4464,10.1612,8960,730,"8960 Randers SØ",8.74069,11.9337,26.5871,8.74069,0,11.9337,0
"Uggelhuse Forsamlingshus","7. Randers Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495593.xml",762,664,6,4,674,169,7,16,21,37,8,172,148,54,32,0,"Uggelhuse Forsamlingshus, Randers Syd, Denmark",NA,NA,NA,NA,NA,NA,NA,26.506,NA,NA,NA,NA
"Ans","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495730.xml",2533,2201,15,2,2218,415,35,87,69,116,68,403,838,99,70,1,"Ans, Silkeborg Nord, Denmark",56.3073,9.58775,8643,740,"8643 Ans By",NaN,NaN,20.4453,NA,NA,NA,NA
"Funder","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495731.xml",1787,1543,13,12,1568,392,45,56,74,113,25,356,328,86,68,0,"Funder, Silkeborg Nord, Denmark",56.1493,9.47578,8600,740,"8600 Silkeborg",7.11105,7.88481,28.3215,7.11105,0,7.88481,0
"Fårvang","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495732.xml",1448,1227,11,3,1241,302,25,49,45,43,8,371,305,50,28,1,"Fårvang, Silkeborg Nord, Denmark",56.2673,9.72743,8882,740,"8882 Fårvang",NaN,NaN,26.6504,NA,NA,NA,NA
"Gjern","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495733.xml",1462,1270,8,3,1281,300,53,53,60,91,85,201,283,77,66,1,"Gjern, Silkeborg Nord, Denmark",56.23,9.73755,8883,740,"8883 Gjern",NaN,NaN,27.7953,NA,NA,NA,NA
"Grauballe","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495734.xml",949,825,11,2,838,158,24,40,23,79,21,205,201,46,28,0,"Grauballe, Silkeborg Nord, Denmark",56.2267,9.63369,8600,740,"8600 Silkeborg",7.11105,7.88481,22.0606,7.11105,0,7.88481,0
"Gødvad","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495735.xml",4438,3830,34,12,3876,1148,148,176,148,280,68,688,767,237,170,0,"Gødvad, Silkeborg Nord, Denmark",56.1845,9.60677,8600,740,"8600 Silkeborg",7.11105,7.88481,33.8381,7.11105,0,7.88481,0
"Kjellerup","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495736.xml",4184,3594,38,5,3637,923,86,187,115,184,59,776,1020,163,81,0,"Kjellerup, Silkeborg Nord, Denmark",56.2846,9.43553,8620,740,"8620 Kjellerup",4.14867,3.09924,28.0746,4.14867,0,3.09924,0
"Kragelund","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495737.xml",943,832,10,2,844,185,23,26,29,57,11,208,224,40,29,0,"Kragelund, Silkeborg Nord, Denmark",56.1949,9.40882,8600,740,"8600 Silkeborg",7.11105,7.88481,25,7.11105,0,7.88481,0
"Lemming","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495738.xml",1007,881,8,1,890,188,33,39,39,64,8,206,217,52,35,0,"Lemming, Silkeborg Nord, Denmark",56.2398,9.54667,8632,740,"8632 Lemming",NaN,NaN,25.0851,NA,NA,NA,NA
"Linå","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495739.xml",1095,990,7,5,1002,200,29,40,48,83,7,209,210,71,92,1,"Linå, Silkeborg Nord, Denmark",56.1539,9.68866,8600,740,"8600 Silkeborg",7.11105,7.88481,23.1313,7.11105,0,7.88481,0
"Resenbro","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495740.xml",1390,1244,8,2,1254,408,44,42,43,84,12,257,250,60,44,0,"Resenbro, Silkeborg Nord, Denmark",56.1824,9.6502,8600,740,"8600 Silkeborg",7.11105,7.88481,36.3344,7.11105,0,7.88481,0
"Sejling","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495741.xml",737,636,12,0,648,144,31,19,33,74,10,128,142,30,25,0,"Sejling, Silkeborg Nord, Denmark",56.2173,9.51877,8600,740,"8600 Silkeborg",7.11105,7.88481,27.5157,7.11105,0,7.88481,0
"Sejs","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495742.xml",3052,2796,14,10,2820,637,170,178,155,288,16,421,637,128,166,0,"Sejs, Silkeborg Nord, Denmark",56.1388,9.60668,8600,740,"8600 Silkeborg",7.11105,7.88481,28.8627,7.11105,0,7.88481,0
"Sjørslev","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495743.xml",801,699,8,5,712,165,11,45,14,32,5,186,196,20,25,0,"Sjørslev, Silkeborg Nord, Denmark",56.3284,9.44289,8620,740,"8620 Kjellerup",4.14867,3.09924,25.1788,4.14867,0,3.09924,0
"Sorring","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495744.xml",1211,1089,11,3,1103,278,43,35,35,67,14,251,232,73,61,0,"Sorring, Silkeborg Nord, Denmark",56.1774,9.77623,8641,740,"8641 Sorring",NaN,NaN,29.4766,NA,NA,NA,NA
"Thorning","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495745.xml",2154,1847,10,5,1862,370,33,104,60,103,25,492,538,90,31,1,"Thorning, Silkeborg Nord, Denmark",56.2841,9.33097,8620,740,"8620 Kjellerup",4.14867,3.09924,21.8192,4.14867,0,3.09924,0
"Vinderslev","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495746.xml",1001,886,3,2,891,153,13,41,22,51,28,261,254,48,15,0,"Vinderslev, Silkeborg Nord, Denmark",56.2547,9.42891,8620,740,"8620 Kjellerup",4.14867,3.09924,18.7359,4.14867,0,3.09924,0
"Voel","5. Silkeborg Nord","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495747.xml",1254,1143,8,5,1156,290,35,55,32,63,63,236,267,51,51,0,"Voel, Silkeborg Nord, Denmark",56.1901,9.69306,8600,740,"8600 Silkeborg",7.11105,7.88481,28.4339,7.11105,0,7.88481,0
"Balle","6. Silkeborg Syd","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495748.xml",2924,2672,19,3,2694,770,127,116,117,229,23,484,592,117,97,0,"Balle, Silkeborg Syd, Denmark",56.1824,9.53078,8600,740,"8600 Silkeborg",7.11105,7.88481,33.5704,7.11105,0,7.88481,0
"Bryrup","6. Silkeborg Syd","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495749.xml",1617,1402,13,1,1416,324,51,44,52,100,8,324,294,101,104,0,"Bryrup, Silkeborg Syd, Denmark",56.0232,9.52235,8654,740,"8654 Bryrup",NaN,NaN,26.7475,NA,NA,NA,NA
"Buskelund","6. Silkeborg Syd","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495750.xml",3452,3193,22,9,3224,703,183,227,96,422,22,425,883,118,114,0,"Buskelund, Silkeborg Syd, Denmark",56.1734,9.49642,8600,740,"8600 Silkeborg",7.11105,7.88481,27.7482,7.11105,0,7.88481,0
"Gjessø","6. Silkeborg Syd","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495751.xml",866,801,4,1,806,168,28,30,32,99,5,159,190,41,49,0,"Gjessø, Silkeborg Syd, Denmark",56.116,9.49392,8600,740,"8600 Silkeborg",7.11105,7.88481,24.4694,7.11105,0,7.88481,0
"Hjøllund","6. Silkeborg Syd","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495752.xml",388,327,0,0,327,59,13,6,16,11,1,73,53,36,59,0,"Hjøllund, Silkeborg Syd, Denmark",56.0707,9.37814,7362,740,"7362 Hampen",NaN,NaN,22.0183,NA,NA,NA,NA
"Langsøskolen","6. Silkeborg Syd","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495753.xml",2086,1736,10,6,1752,566,60,56,111,86,14,309,298,145,91,0,"Langsøskolen, Silkeborg Syd, Denmark",56.1729,9.56451,8600,740,"8600 Silkeborg",7.11105,7.88481,36.0599,7.11105,0,7.88481,0
"Lysbro","6. Silkeborg Syd","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495754.xml",2012,1819,13,3,1835,472,80,74,91,204,14,260,441,96,87,0,"Lysbro, Silkeborg Syd, Denmark",56.1564,9.50467,8600,740,"8600 Silkeborg",7.11105,7.88481,30.3463,7.11105,0,7.88481,0
"Nordre","6. Silkeborg Syd","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495755.xml",3379,2863,27,8,2898,890,99,101,150,184,30,527,468,258,156,0,"Nordre, Silkeborg Syd, Denmark",56.1764,9.55492,8600,740,"8600 Silkeborg",7.11105,7.88481,34.5442,7.11105,0,7.88481,0
"Jysk Arena","6. Silkeborg Syd","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495756.xml",5024,4080,26,13,4119,1349,135,154,188,235,55,828,644,339,152,1,"Jysk Arena, Silkeborg Syd, Denmark",56.1843,9.57341,8600,740,"8600 Silkeborg",7.11105,7.88481,36.3725,7.11105,0,7.88481,0
"Them","6. Silkeborg Syd","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495757.xml",2648,2337,17,5,2359,556,70,92,87,181,17,568,553,104,109,0,"Them, Silkeborg Syd, Denmark",56.0923,9.54835,8653,740,"8653 Them",NaN,NaN,26.7865,NA,NA,NA,NA
"Vestergadehallen","6. Silkeborg Syd","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495758.xml",7533,6262,65,28,6355,1622,294,267,372,517,59,1008,1161,570,391,1,"Vestergadehallen, Silkeborg Syd, Denmark",NA,NA,NA,NA,NA,NA,NA,30.5973,NA,NA,NA,NA
"Virklund","6. Silkeborg Syd","Vestjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495759.xml",2484,2249,13,4,2266,527,129,115,72,215,16,346,599,93,135,2,"Virklund, Silkeborg Syd, Denmark",56.1308,9.55909,8600,740,"8600 Silkeborg",7.11105,7.88481,29.1685,7.11105,0,7.88481,0
"Tranebjerg","9. Skanderborg","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495618.xml",2594,2171,11,6,2188,607,47,89,105,112,4,405,468,174,160,0,"Tranebjerg, Skanderborg, Denmark",56.0372,9.9298,8660,746,"8660 Skanderborg",3.0117,-0.799511,30.1244,3.0117,0,0,0.799511
"Nordby","9. Skanderborg","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495619.xml",334,299,3,1,303,85,10,19,10,13,3,41,64,29,25,0,"Nordby, Skanderborg, Denmark",56.0372,9.9298,8660,746,"8660 Skanderborg",3.0117,-0.799511,31.7726,3.0117,0,0,0.799511
"Ejer Bavnehøj","9. Skanderborg","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495620.xml",1744,1554,15,2,1571,388,58,48,57,106,4,313,366,126,85,3,"Ejer Bavnehøj, Skanderborg, Denmark",55.9771,9.83065,8660,746,"8660 Skanderborg",3.0117,-0.799511,28.7001,3.0117,0,0,0.799511
"Galten","9. Skanderborg","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495621.xml",4041,3673,36,2,3711,1110,132,108,116,242,48,854,778,153,129,3,"Galten, Skanderborg, Denmark",56.1541,9.90766,8464,746,"8464 Galten",15.7489,14.0436,33.8143,15.7489,0,14.0436,0
"Gl. Rye","9. Skanderborg","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495622.xml",1284,1173,9,4,1186,292,100,32,49,116,4,131,179,97,172,1,"Gl. Rye, Skanderborg, Denmark",56.0741,9.69787,8680,746,"8680 Ry",13.0086,17.81,33.4186,13.0086,0,17.81,0
"Hørning","9. Skanderborg","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495623.xml",5785,5177,49,13,5239,1460,196,158,232,424,28,1208,1101,197,167,6,"Hørning, Skanderborg, Denmark",56.0876,10.0378,8362,746,"8362 Hørning",18.2117,11.2246,31.9876,18.2117,0,11.2246,0
"Låsby","9. Skanderborg","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495624.xml",2592,2302,16,4,2322,568,74,73,103,177,9,537,516,118,125,2,"Låsby, Skanderborg, Denmark",56.1517,9.80883,8670,746,"8670 Låsby",NaN,NaN,27.8888,NA,NA,NA,NA
"Morten Børup","9. Skanderborg","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495625.xml",7245,6126,52,19,6197,1811,307,177,260,501,25,1059,1119,463,388,16,"Morten Børup, Skanderborg, Denmark",56.0352,9.92318,8660,746,"8660 Skanderborg",3.0117,-0.799511,34.5739,3.0117,0,0,0.799511
"Niels Ebbesen","9. Skanderborg","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495626.xml",4847,4335,29,4,4368,1071,293,131,156,524,17,594,1159,200,183,7,"Niels Ebbesen, Skanderborg, Denmark",56.0452,9.9342,8660,746,"8660 Skanderborg",3.0117,-0.799511,31.4648,3.0117,0,0,0.799511
"Ry","9. Skanderborg","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495627.xml",4982,4548,33,9,4590,1183,339,137,235,398,17,611,815,318,489,6,"Ry, Skanderborg, Denmark",56.0907,9.76659,8680,746,"8680 Ry",13.0086,17.81,33.4653,13.0086,0,17.81,0
"Skovby","9. Skanderborg","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495628.xml",3318,2982,28,2,3012,836,122,102,117,230,44,692,542,123,172,2,"Skovby, Skanderborg, Denmark",56.1598,9.94999,8464,746,"8464 Galten",15.7489,14.0436,32.1261,15.7489,0,14.0436,0
"Stilling","9. Skanderborg","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495629.xml",3134,2857,15,4,2876,860,123,92,96,218,9,512,690,129,123,5,"Stilling, Skanderborg, Denmark",56.0582,9.98617,8660,746,"8660 Skanderborg",3.0117,-0.799511,34.4067,3.0117,0,0,0.799511
"Stjær","9. Skanderborg","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495630.xml",1533,1406,6,4,1416,352,59,55,57,116,18,266,315,85,82,1,"Stjær, Skanderborg, Denmark",56.1184,9.95381,8464,746,"8464 Galten",15.7489,14.0436,29.2319,15.7489,0,14.0436,0
"Virring","9. Skanderborg","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495631.xml",1567,1396,13,1,1410,331,46,31,39,136,8,349,309,80,64,3,"Virring, Skanderborg, Denmark",56.0312,10.0335,8660,746,"8660 Skanderborg",3.0117,-0.799511,27.0057,3.0117,0,0,0.799511
"Frederiksbjerg Hallerne","1. Århus Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495501.xml",13588,11972,112,29,12113,2756,1138,371,609,1574,95,919,1967,1137,1358,48,"Frederiksbjerg Hallerne, Århus Syd, Denmark",56.1448,10.2002,8000,751,"8000 Århus C",9.28529,15.4752,32.5259,9.28529,0,15.4752,0
"Lokalcenter Fr.Bjerg/Langenæs","1. Århus Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495502.xml",6320,5343,63,14,5420,1440,420,125,307,596,89,491,761,557,546,11,"Lokalcenter Fr.Bjerg/Langenæs, Århus Syd, Denmark",NA,NA,NA,NA,NA,NA,NA,34.8119,NA,NA,NA,NA
"Rundhøjhallen,Holme","1. Århus Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495503.xml",6541,5583,40,18,5641,1687,274,197,284,435,21,901,921,461,383,19,"Rundhøjhallen,Holme, Århus Syd, Denmark",NA,NA,NA,NA,NA,NA,NA,35.1245,NA,NA,NA,NA
"Kragelundskolen,Højbjerg","1. Århus Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495504.xml",4180,3645,27,18,3690,1013,278,157,185,317,35,426,580,318,326,10,"Kragelundskolen,Højbjerg, Århus Syd, Denmark",56.1152,10.2006,8270,751,"8270 Højbjerg",4.49648,4.07161,35.4184,4.49648,0,4.07161,0
"Tranbjerg Skole","1. Århus Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495505.xml",6608,5863,47,16,5926,2062,177,151,253,367,29,1264,985,367,196,12,"Tranbjerg Skole, Århus Syd, Denmark",56.0875,10.1389,8310,751,"8310 Tranbjerg J",13.2156,14.4341,38.1886,13.2156,0,14.4341,0
"Rosenvangskolen,Viby J","2. Århus Vest","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495511.xml",5430,4741,44,11,4796,1301,389,170,252,426,35,553,785,399,414,17,"Rosenvangskolen,Viby J, Århus Vest, Denmark",56.1312,10.1827,8260,751,"8260 Viby J",8.65671,14.2437,35.6465,8.65671,0,14.2437,0
"Viby Hallen","2. Århus Vest","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495512.xml",8807,7154,77,22,7253,2133,331,192,384,620,57,1211,971,693,533,29,"Viby Hallen, Århus Vest, Denmark",NA,NA,NA,NA,NA,NA,NA,34.4423,NA,NA,NA,NA
"Beder Skole","1. Århus Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495506.xml",3432,3119,16,5,3140,879,187,107,193,209,16,403,626,244,249,6,"Beder Skole, Århus Syd, Denmark",56.0632,10.2112,8330,751,"8330 Beder",NaN,NaN,34.1776,NA,NA,NA,NA
"Malling Skole","1. Århus Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495507.xml",3796,3414,32,6,3452,1012,183,95,204,229,10,543,599,267,267,5,"Malling Skole, Århus Syd, Denmark",56.0632,10.2112,8330,751,"8330 Beder",NaN,NaN,35.0029,NA,NA,NA,NA
"Mårslet Skole","1. Århus Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495508.xml",3875,3562,21,9,3592,978,274,125,190,302,16,417,690,269,292,9,"Mårslet Skole, Århus Syd, Denmark",56.0632,10.2112,8330,751,"8330 Beder",NaN,NaN,35.1488,NA,NA,NA,NA
"Solbjergskolen","1. Århus Syd","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495509.xml",3786,3355,31,2,3388,940,133,82,147,279,9,643,772,167,179,4,"Solbjergskolen, Århus Syd, Denmark",56.0426,10.0844,8355,751,"8355 Solbjerg",5.13622,7.63052,31.9821,5.13622,0,7.63052,0
"Ormslev Præstegård","2. Århus Vest","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495513.xml",452,398,4,4,406,98,30,9,19,30,2,57,81,37,35,0,"Ormslev Præstegård, Århus Vest, Denmark",NA,NA,NA,NA,NA,NA,NA,32.1608,NA,NA,NA,NA
"Hasselager Hallen","2. Århus Vest","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495514.xml",5001,4315,44,19,4378,1376,145,118,173,302,17,972,750,275,177,10,"Hasselager Hallen, Århus Vest, Denmark",56.1095,10.0824,8361,751,"8361 Hasselager",2.73786,8.99566,35.2491,2.73786,0,8.99566,0
"Højvangskolen,Stavtrup","2. Århus Vest","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495515.xml",3585,3255,19,6,3280,929,191,105,198,241,14,490,488,297,292,10,"Højvangskolen,Stavtrup, Århus Vest, Denmark",56.13,10.1138,8260,751,"8260 Viby J",8.65671,14.2437,34.4086,8.65671,0,14.2437,0
"Rådhushallen","4. Århus Øst","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495537.xml",14094,11645,123,44,11812,2158,1173,362,543,1917,86,644,1893,1203,1613,53,"Rådhushallen, Århus Øst, Denmark",NA,NA,NA,NA,NA,NA,NA,28.6046,NA,NA,NA,NA
"Gammelgårdskolen,Åbyhøj","3. Århus Nord","Østjyllands Storkreds","Midtjylland-Nordjylland","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495525.xml",3130,2802,18,7,2827,821,244,85,170,227,44,284,416,265,240,6,"Gammelgårdskolen,Åbyhøj, Århus Nord, Denmark",56.1594,10.157,8230,751,"8230 Åbyhøj",2.02379,12.7407,38.0086,2.02379,0,12.7407,0
