year;valgstedId;voters;votes;a;b;c;v;inc_support
2001;306008;1266;1131;234;54;145;366;0,25464191
2001;306010;1195;1039;265;61;89;305;0,313763234
2001;306011;2738;2315;631;125;246;681;0,326565875
2001;306012;584;490;103;19;40;170;0,248979592
2001;306013;904;730;188;49;60;223;0,324657534
2001;316001;6328,35;5480;1732,7;445,12;852,43;1219,6;0,397412409
2001;316002;6469,12;5272,15;1747,63;345,39;766,66;1123,37;0,396995533
2001;316003;4013,93;3368,9;942,11;280,56;572,49;765,84;0,362928552
2001;316004;3038,61;2764,94;688,56;151,93;432,42;889,18;0,30398128
2001;316005;3020;2677;695;190;476;755;0,330593948
2001;316006;1761;1555;375;89;189;516;0,298392283
2001;316007;3114;2782;751;218;303;852;0,348310568
2001;316008;2757;2421;621;146;230;777;0,316811235
2001;316009;2837;2542;689;139;310;801;0,325727773
2001;316010;2508;2204;572;106;238;763;0,307622505
2001;316011;3430;2897;893;111;318;895;0,346565412
2001;316012;3162;2738;795;120;251;872;0,334185537
2001;316013;2558;2189;682;104;260;609;0,359068068
2001;316014;2340;2052;533;128;184;713;0,322124756
2001;316015;757;648;179;19;42;193;0,305555556
2001;320001;5029,62;4377,09;1165,83;179,82;352,69;1584,75;0,307430279
2001;320002;5762,38;4999,91;1349,17;216,18;424,31;1775,25;0,313075635
2001;320003;3622;3039;1117;91;303;877;0,397499177
2001;320004;3072,02;2634,32;782,04;96,73;233;737,18;0,333585138
2001;320005;2666,98;2340,68;624,96;83,27;211;800,82;0,302574466
2001;320006;2587;2329;508;107;197;982;0,264061829
2001;320007;2637;2325;561;72;228;908;0,272258065
2001;326001;2528;2123;624;66;189;610;0,325011776
2001;326002;339;311;75;9;13;109;0,270096463
2001;326003;3358;2836;920;76;185;798;0,351198872
2001;326004;2233;1892;604;46;158;620;0,343551797
2001;326005;1370;1208;282;46;85;452;0,271523179
2001;326006;501;433;109;11;44;122;0,277136259
2001;326007;787;685;194;27;43;238;0,322627737
2001;326008;2394;2072;627;91;236;648;0,346525097
2001;326009;3527;3019;848;109;285;983;0,316992382
2001;326010;1481;1315;292;57;105;437;0,26539924
2001;326011;1153;1020;204;30;88;398;0,229411765
2001;326012;3189;2665;823;123;308;689;0,354971857
2001;326013;2559;2077;791;59;173;440;0,409244102
2001;326014;1196;1046;311;57;100;341;0,351816444
2001;326015;2632;2325;719;76;240;690;0,341935484
2001;326016;3155;2803;820;107;290;890;0,330717089
2001;326017;687;611;151;28;56;205;0,292962357
2001;326018;3037;2524;870;91;271;677;0,380744849
2001;329001;5956;5008;1504;216;468;1536;0,343450479
2001;329002;616;554;131;20;47;210;0,272563177
2001;329003;525;471;102;23;26;158;0,265392781
2001;329004;3608;3158;1085;110;238;923;0,378404053
2001;329005;949;864;182;36;57;306;0,252314815
2001;329006;4538;3824;1266;127;282;1075;0,364278243
2001;329008;977;895;217;61;45;280;0,310614525
2001;329009;1011;916;240;33;84;320;0,298034934
2001;329010;981;885;255;35;67;303;0,327683616
2001;329011;540;459;108;22;24;176;0,283224401
2001;329012;815;719;163;38;59;267;0,279554937
2001;329013;958;864;246;36;48;285;0,326388889
2001;329014;648;554;156;20;25;198;0,317689531
2001;330001;1377,31;1177,65;357;42,59;110,29;367,58;0,33931134
2001;330002;990,59;882,89;194,01;38,46;83,76;296,58;0,263305735
2001;330003;977;848;210;39;71;310;0,293632075
2001;330004;1352;1219;322;50;105;431;0,305168171
2001;330005;5969;5049;1695;172;457;1278;0,369776193
2001;330006;5573;4558;1744;122;285;904;0,409390083
2001;330007;1785;1594;583;41;120;417;0,391468005
2001;330008;2316;2069;534;74;150;719;0,293861769
2001;330009;4717,42;4027,35;1322,12;147,33;386,14;1073,1;0,364867717
2001;330010;1330;1169;280;59;101;390;0,289991446
2001;330011;2794;2376;646;137;245;646;0,329545455
2001;330012;204;176;27;6;18;55;0,1875
2001;330013;1034;900;206;43;63;293;0,276666667
2001;330014;516,1;461,46;106,99;24,94;32,95;160,84;0,285896936
2001;330015;1969;1650;532;92;145;476;0,378181818
2001;330016;399,98;359,32;79,43;18,91;22,69;127,65;0,273683625
2001;330017;149;134;31;3;6;42;0,253731343
2001;330018;581,02;499,68;106,57;28,09;42,31;186,35;0,269492475
2001;330019;5130;3985;1094;143;474;1193;0,310414053
2001;330020;4322;3631;1101;129;426;1036;0,338749656
2001;330021;4843;4230;1276;145;431;1261;0,335933806
2001;330022;5062;4020;1196;124;401;1162;0,328358209
2001;330024;1063,58;965,65;166,88;32,67;86,86;403,9;0,206648372
2001;330025;1593,98;1428,54;350,7;45,57;117,89;493,35;0,277395103
2001;330026;458,02;420,46;90,3;12,43;39,11;140,65;0,244327641
2001;336001;4123,63;3734,97;965,99;107,12;288,53;1410,09;0,287314222
2001;336002;4947,32;4490,32;1079,22;152,69;407,71;1764,09;0,274347931
2001;336003;4502,05;3871,72;1111,79;157,19;420,76;1317,83;0,327756139
2001;336004;2872;2558;664;89;226;889;0,294370602
2001;340001;4072;3419;911;125;386;1026;0,303012577
2001;340002;1366;1138;360;32;133;296;0,344463972
2001;340004;1378,48;1227,21;351,37;43,61;72,09;487,71;0,321852006
2001;340005;4154;3542;1109;207;431;1010;0,371541502
2001;340006;3421;3054;817;167;310;965;0,322200393
2001;340008;2421,52;2112,79;601,63;83,39;190,91;733,29;0,324225313
2001;340010;4042;3525;919;128;307;1271;0,297021277
2001;350001;2547;2292;597;82;148;933;0,296247818
2001;350002;1950;1744;473;81;108;640;0,31766055
2001;350003;1326;1212;305;49;64;470;0,292079208
2001;350004;1148;1051;274;43;81;431;0,301617507
2001;350005;868;780;200;41;50;320;0,308974359
2001;350006;2885;2602;811;163;151;757;0,37432744
2001;350008;2176;1993;572;84;156;698;0,329152032
2001;350009;1970;1848;442;93;141;771;0,289502165
2001;350011;1722;1624;352;141;132;663;0,303571429
