"","valgstedid","vsnavn","kredsnavn","adrstring","lon","lat","zip","muninum"
"922",661009,"Vemb","10. Holstebro","Vemb,  Holstebro, Denmark",8.340374,56.34394,7570,661
"923",661010,"Sdr. Nissum","10. Holstebro","Sdr Nissum,  Holstebro, Denmark",8.1855035,56.3064632,6990,661
"924",665001,"Lemvig","1. Struer","Lemvig,  Struer, Denmark",8.589933,56.48493,7600,671
"925",665002,"Nørre Nissum","1. Struer","Nørre Nissum,  Struer, Denmark",8.5003103,56.6237671,7790,671
"926",665003,"Klinkby","1. Struer","Klinkby,  Struer, Denmark",8.589933,56.48493,7600,671
"927",665004,"Ramme","1. Struer","Ramme,  Struer, Denmark",8.589933,56.48493,7600,671
"928",665005,"Bøvling","1. Struer","Bøvling,  Struer, Denmark",8.5861432,56.4808469,7600,671
"929",665006,"Flynder","1. Struer","Flynder,  Struer, Denmark",8.589933,56.48493,7600,671
"930",665007,"Thyborøn","1. Struer","Thyborøn,  Struer, Denmark",8.589933,56.48493,7600,671
"931",665008,"Harboøre","1. Struer","Harboøre,  Struer, Denmark",8.589933,56.48493,7600,671
"932",671001,"Struer","1. Struer","Struer,  Struer, Denmark",8.589933,56.48493,7600,671
"933",671002,"Gimsing","1. Struer","Gimsing,  Struer, Denmark",8.5656141,56.4695102,7600,671
"934",671003,"Hjerm","1. Struer","Hjerm,  Struer, Denmark",8.636616,56.437458,7560,671
"935",671004,"Humlum","1. Struer","Humlum,  Struer, Denmark",8.551149,56.540272,7600,671
"936",671005,"Bremdal","1. Struer","Bremdal,  Struer, Denmark",8.584726,56.508125,7600,671
"937",671006,"Langhøj","1. Struer","Langhøj,  Struer, Denmark",8.5122362,56.4338212,7600,671
"938",671007,"Hvidbjerg","1. Struer","Hvidbjerg,  Struer, Denmark",8.527533,56.649556,7790,671
"939",706001,"Ebeltoft","5. Djurs","Ebeltoft,  Djurs, Denmark",10.6592488,56.1572155,8400,706
"940",706002,"Mols","5. Djurs","Mols,  Djurs, Denmark",NA,NA,NA,NA
"941",706003,"Tirstrup","5. Djurs","Tirstrup,  Djurs, Denmark",10.6852645,56.3014135,8400,706
"942",706004,"Kolind","5. Djurs","Kolind,  Djurs, Denmark",10.636429,56.3446795,8560,706
"943",706005,"Ryomgård","5. Djurs","Ryomgård,  Djurs, Denmark",NA,NA,NA,NA
"944",706006,"Hornslet","5. Djurs","Hornslet,  Djurs, Denmark",10.3155211,56.318149,8543,706
"945",706007,"Mørke","5. Djurs","Mørke,  Djurs, Denmark",NA,NA,NA,NA
"946",706008,"Rønde","5. Djurs","Rønde,  Djurs, Denmark",10.4974823,56.2980157,8410,706
"947",707001,"Kulturhuset Pavillonen","5. Djurs","Kulturhuset Pavillonen,  Djurs, Denmark",NA,NA,NA,NA
"948",707002,"Anholt Skole","5. Djurs","Anholt Skole,  Djurs, Denmark",NA,NA,NA,NA
"949",707003,"Kulturhuset Stationen","5. Djurs","Kulturhuset Stationen,  Djurs, Denmark",NA,NA,NA,NA
