"year","valgstedid","voters","votes","a","b","c","v","vsnavn","komnavn","kredsnavn","kontanthjaelp","arbejd","boligstoer_kvm","ejer","formue","indkomst","indkomst_80pct","zip","muninum","y","zipy","hp_1yr","hp_2yr","incsupport","hp_1yrposchange","hp_1yrnegchange","hp_2yrposchange","hp_2yrnegchange"
2011,751050,3635,3319,0.20006,0.0891835,0.0605604,0.383549,"Skæring Skole","Århus","4. Århus Øst",0.0208333,0.606061,121.639,0.707831,1.99198e+06,587665,863686,8250,751,11,"8250_11",-0.846672,-7.7558,0.44411,0,0.846672,0,7.7558
2015,751050,3715,3358,0.236152,0.0479452,0.0449672,0.249851,"Skæring Skole","Århus","4. Århus Øst",0.0208333,0.606061,121.639,0.707831,1.99198e+06,587665,863686,8250,751,15,"8250_15",3.47448,12.6054,0.284098,3.47448,0,12.6054,0
2005,751051,4682,4151,0.248133,0.0857625,0.117321,0.321368,"Skødstrup Hallen","Århus","4. Århus Øst",0.02724,0.639738,118.732,0.646651,1.02641e+06,541180,779717,NA,NA,5,"NA_5",NA,NA,0.438689,NA,NA,NA,NA
2007,751051,5003,4518,0.25166,0.0648517,0.105799,0.280876,"Skødstrup Hallen","Århus","4. Århus Øst",0.02724,0.639738,118.732,0.646651,1.02641e+06,541180,779717,NA,NA,7,"NA_7",NA,NA,0.386676,NA,NA,NA,NA
2011,751051,5433,4967,0.243004,0.109322,0.0420777,0.31065,"Skødstrup Hallen","Århus","4. Århus Øst",0.02724,0.639738,118.532,0.601048,1.02641e+06,541180,779717,NA,NA,11,"NA_11",NA,NA,0.352728,NA,NA,NA,NA
2015,751051,6023,5405,0.257539,0.052729,0.0303423,0.214061,"Skødstrup Hallen","Århus","4. Århus Øst",0.02724,0.639738,118.532,0.601048,1.02641e+06,541180,779717,NA,NA,15,"NA_15",NA,NA,0.310268,NA,NA,NA,NA
2005,751053,2111,1787,0.336877,0.0794628,0.0682708,0.227196,"Bjørnshøjcentret,Trige","Århus","3. Århus Nord",0.0468512,0.588378,108.407,0.451713,664433,440932,668259,NA,NA,5,"NA_5",NA,NA,0.295467,NA,NA,NA,NA
2007,751053,2188,1876,0.343284,0.0378465,0.0575693,0.21162,"Bjørnshøjcentret,Trige","Århus","3. Århus Nord",0.0468512,0.588378,108.407,0.451713,664433,440932,668259,NA,NA,7,"NA_7",NA,NA,0.26919,NA,NA,NA,NA
2011,751053,2176,1887,0.347642,0.0800212,0.0259671,0.198728,"Bjørnshøjcentret,Trige","Århus","3. Århus Nord",0.0468512,0.588378,108.634,0.469609,664433,440932,668259,NA,NA,11,"NA_11",NA,NA,0.224695,NA,NA,NA,NA
2015,751053,2221,1855,0.328302,0.0371968,0.0199461,0.136927,"Bjørnshøjcentret,Trige","Århus","3. Århus Nord",0.0468512,0.588378,108.634,0.469609,664433,440932,668259,NA,NA,15,"NA_15",NA,NA,0.365499,NA,NA,NA,NA
