type;area;v1;v2;v3;v4;v5;v6;v7;v8;zipy
Ejerlejligheder;2640 Hedehusene;0;13.415;14.284;13.248;0;0;0;12.893;2640_11
Fritidshuse;2640 Hedehusene;0;0;0;0;0;0;0;0;2640_11
Parcel- og rækkehuse;2640 Hedehusene;15.124;15.996;15.838;15.427;15.452;15.949;14.711;14.408;2640_11
Ejerlejligheder;2640 Hedehusene;12.884;13.537;13.742;13.305;13.831;13.299;0;15.657;2640_15
Fritidshuse;2640 Hedehusene;0;0;0;0;0;0;0;0;2640_15
Parcel- og rækkehuse;2640 Hedehusene;13.74;13.311;14.932;15.099;15.699;13.863;15.111;15.471;2640_15
Ejerlejligheder;2640 Hedehusene;12.749;13.222;12.852;12.777;13.486;13.415;13.738;14.064;2640_5
Fritidshuse;2640 Hedehusene;0;0;0;0;0;0;0;0;2640_5
Parcel- og rækkehuse;2640 Hedehusene;11.953;12.519;10.966;12.371;12.561;13.504;14.407;14.301;2640_5
Ejerlejligheder;2640 Hedehusene;20.66;22.097;21.209999;0;0;19.944;19.466;18.058001;2640_7
Fritidshuse;2640 Hedehusene;0;0;0;0;0;0;0;0;2640_7
Parcel- og rækkehuse;2640 Hedehusene;18.396;19.849001;18.841999;17.608999;18.424999;20.334;20.025;18.9;2640_7
Ejerlejligheder;2650 Hvidovre;15.772;16.997999;17.436001;15.745;16.077;15.831;14.079;14.311;2650_11
Fritidshuse;2650 Hvidovre;0;0;0;0;0;0;0;0;2650_11
Parcel- og rækkehuse;2650 Hvidovre;17.142;19.087999;19.285;19.367001;18.225;19.620001;19.829;17.555;2650_11
Ejerlejligheder;2650 Hvidovre;18.597;16.076;15.314;17.212999;16.399;17.327;19.167999;19.417999;2650_15
Fritidshuse;2650 Hvidovre;0;0;0;0;0;0;0;0;2650_15
Parcel- og rækkehuse;2650 Hvidovre;19.280001;18.351999;19.327999;20.049;20.66;20.114;21.504999;22.728001;2650_15
Ejerlejligheder;2650 Hvidovre;14.857;14.968;14.76;14.886;15.585;15.979;15.985;16.698999;2650_5
Fritidshuse;2650 Hvidovre;0;0;0;0;0;0;0;0;2650_5
Parcel- og rækkehuse;2650 Hvidovre;12.963;13.242;13.8;13.981;14.44;15.088;15.772;16.291;2650_5
Ejerlejligheder;2650 Hvidovre;22.282;23.566999;23.391001;24.386999;22.410999;21.488001;22.129;22.364;2650_7
Fritidshuse;2650 Hvidovre;0;0;0;0;0;0;0;0;2650_7
Parcel- og rækkehuse;2650 Hvidovre;23.355;23.962;24.295;22.997999;23.086;24.025999;22.306;22.690001;2650_7
Ejerlejligheder;2660 Brøndby Strand;0;0;0;0;0;0;0;0;2660_11
Fritidshuse;2660 Brøndby Strand;0;0;0;0;0;0;0;0;2660_11
Parcel- og rækkehuse;2660 Brøndby Strand;15.553;16.570999;18.15;19.120001;20.114;17.281;18.320999;16.274;2660_11
Ejerlejligheder;2660 Brøndby Strand;0;0;0;0;0;0;0;0;2660_15
Fritidshuse;2660 Brøndby Strand;0;0;0;0;0;0;0;0;2660_15
Parcel- og rækkehuse;2660 Brøndby Strand;18.094999;16.232;18.128;18.309999;18.285;17.601999;19.833;18.996;2660_15
Ejerlejligheder;2660 Brøndby Strand;0;0;0;0;0;0;0;0;2660_5
Fritidshuse;2660 Brøndby Strand;0;0;0;0;0;0;0;0;2660_5
Parcel- og rækkehuse;2660 Brøndby Strand;12.709;14.25;13.972;13.372;15.084;17.122;16.332001;17.306999;2660_5
Ejerlejligheder;2660 Brøndby Strand;0;0;0;0;0;0;0;0;2660_7
Fritidshuse;2660 Brøndby Strand;0;0;0;0;0;0;0;0;2660_7
Parcel- og rækkehuse;2660 Brøndby Strand;22.452999;25.256001;25.129999;26.052;22.455999;23.620001;20.900999;21.054001;2660_7
Ejerlejligheder;2665 Vallensbæk Strand;11.911;12.736;13.399;14.274;13.4;13.423;12.162;11.675;2665_11
Fritidshuse;2665 Vallensbæk Strand;0;0;0;0;0;0;0;0;2665_11
Parcel- og rækkehuse;2665 Vallensbæk Strand;19.549999;18.672001;19.982;20.006001;18.903;20.023001;19.134001;18.722;2665_11
Ejerlejligheder;2665 Vallensbæk Strand;14.153;14.201;13.094;14.199;14.94;14.75;15.334;15.542;2665_15
Fritidshuse;2665 Vallensbæk Strand;0;0;0;0;0;0;0;0;2665_15
Parcel- og rækkehuse;2665 Vallensbæk Strand;19.662001;19.684;20.733999;19.757999;18.908001;19.969;22.832001;21.556999;2665_15
Ejerlejligheder;2665 Vallensbæk Strand;12.786;13.597;13.611;13.803;14.692;12.956;14.238;15.417;2665_5
Fritidshuse;2665 Vallensbæk Strand;0;0;0;0;0;0;0;0;2665_5
Parcel- og rækkehuse;2665 Vallensbæk Strand;13.468;15.072;15.992;15.101;15.233;16.48;17.024;17.252001;2665_5
Ejerlejligheder;2665 Vallensbæk Strand;18.724001;19.702;20.292;20.040001;18.681999;19.450001;18.583;17.525;2665_7
Fritidshuse;2665 Vallensbæk Strand;0;0;0;0;0;0;0;0;2665_7
Parcel- og rækkehuse;2665 Vallensbæk Strand;24.034;24.818001;25.257;0;0;23.469;23.813999;24.318001;2665_7
Ejerlejligheder;2670 Greve;19.664;18.013;18.041;17.625;18.507999;19.813;18.711;17.457001;2670_11
Fritidshuse;2670 Greve;0;0;0;0;0;0;0;0;2670_11
Parcel- og rækkehuse;2670 Greve;17.836;16.774;17.471001;17.481001;15.896;17.561001;16.837999;16.778999;2670_11
Ejerlejligheder;2670 Greve;19.576;19.358;19.389999;19.299;18.162001;20.200001;20.197001;22.266001;2670_15
Fritidshuse;2670 Greve;0;0;0;0;0;0;0;0;2670_15
Parcel- og rækkehuse;2670 Greve;17.445;15.905;16.525;16.851999;17.792;17.798;16.969;17.927;2670_15
Ejerlejligheder;2670 Greve;17.160999;17.243;19.424999;17.347;17.886;19.389999;18.452;19.211;2670_5
Fritidshuse;2670 Greve;0;0;0;0;0;0;0;0;2670_5
Parcel- og rækkehuse;2670 Greve;13.195;12.944;12.982;14.021;13.754;14.793;14.963;15.551;2670_5
Ejerlejligheder;2670 Greve;25.743;26.570999;26.927;27.587999;25.385;25.658001;25.299;24.455999;2670_7
