type;area;Q1_06;Q2_06;Q3_06;Q4_06;Q1_07;Q2_07;Q3_07;Q4_07
Parcel- og rækkehuse;5491 Blommenslyst;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;5492 Vissenbjerg;7.333;7.706;8.754;7.477;7.518;7.786;8.230;10.601
Parcel- og rækkehuse;5500 Middelfart;10.939;10.026;12.733;12.293;11.727;14.201;13.966;15.073
Parcel- og rækkehuse;5540 Ullerslev;6.200;6.699;7.690;8.119;8.704;7.510;8.711;8.063
Parcel- og rækkehuse;5550 Langeskov;8.594;8.876;9.299;9.541;10.849;11.120;10.412;9.687
Parcel- og rækkehuse;5560 Aarup;7.813;6.752;6.524;8.634;7.983;9.485;8.394;8.445
Parcel- og rækkehuse;5580 Nørre Aaby;8.230;7.037;7.428;7.296;0;0;0;9.002
Parcel- og rækkehuse;5591 Gelsted;6.268;0;0;0;7.207;8.137;9.799;0
Parcel- og rækkehuse;5592 Ejby;6.827;6.801;8.801;7.974;6.304;8.499;9.958;9.429
Parcel- og rækkehuse;5600 Faaborg;8.137;8.451;9.056;5.015;7.045;7.468;7.733;9.263
Parcel- og rækkehuse;5610 Assens;7.537;7.846;9.283;8.787;8.041;8.387;8.249;8.717
Parcel- og rækkehuse;5620 Glamsbjerg;5.492;6.776;5.991;7.520;6.273;7.811;6.442;7.783
Parcel- og rækkehuse;5631 Ebberup;0;7.296;7.930;0;0;7.504;6.352;0
Parcel- og rækkehuse;5642 Millinge;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;5672 Broby;6.695;7.466;6.435;5.787;7.491;8.509;7.921;7.917
Parcel- og rækkehuse;5683 Haarby;7.359;7.285;9.549;7.119;5.918;8.353;7.639;8.336
Parcel- og rækkehuse;5690 Tommerup;6.897;9.204;9.586;9.461;8.719;8.480;9.925;10.252
Parcel- og rækkehuse;5700 Svendborg;9.686;11.409;10.837;11.273;12.668;12.839;13.004;13.713
Parcel- og rækkehuse;5750 Ringe;5.942;7.415;7.675;7.249;8.095;8.301;9.087;8.896
Parcel- og rækkehuse;5762 Vester Skerninge;6.894;7.329;7.673;7.553;8.295;8.671;8.836;7.982
Parcel- og rækkehuse;5771 Stenstrup;7.119;7.492;8.019;7.601;0;0;7.080;8.776
Parcel- og rækkehuse;5772 Kværndrup;5.440;6.468;6.054;7.893;7.545;7.669;7.062;10.359
Parcel- og rækkehuse;5792 Årslev;8.150;8.393;9.881;9.596;9.971;11.107;11.717;9.602
Parcel- og rækkehuse;5800 Nyborg;9.586;10.227;11.002;11.104;10.532;11.595;10.631;12.415
Parcel- og rækkehuse;5853 Ørbæk;6.076;7.505;6.787;7.251;7.443;7.922;7.247;7.613
Parcel- og rækkehuse;5854 Gislev;0;0;6.635;0;0;0;0;0
Parcel- og rækkehuse;5856 Ryslinge;0;7.872;0;0;7.382;0;0;7.953
Parcel- og rækkehuse;5863 Ferritslev Fyn;7.111;0;0;0;0;0;0;0
Parcel- og rækkehuse;5871 Frørup;7.087;10.589;0;0;6.656;6.747;8.688;6.612
Parcel- og rækkehuse;5874 Hesselager;0;0;5.798;0;0;0;9.918;7.382
Parcel- og rækkehuse;5881 Skårup Fyn;10.034;9.291;12.087;10.199;9.821;14.211;12.711;11.833
Parcel- og rækkehuse;5882 Vejstrup;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;5883 Oure;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;5884 Gudme;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;5892 Gudbjerg Sydfyn;0;0;0;0;0;0;0;0
